country,pop2021,area
Macau,658.394,30
Monaco,39.511,2
Singapore,5896.686,710
Hong Kong,7552.81,1104
Gibraltar,33.698,6
Bahrain,1748.296,765
Maldives,543.617,300
Malta,442.784,316
Sint Maarten,43.412,34
Bermuda,62.09,54
Bangladesh,166303.498,147570
Palestine,5222.748,6220
Vatican City,0.8,1
Mayotte,279.515,374
Saint Martin,39.234,53
Barbados,287.711,430
Taiwan,23855.01,36193
Lebanon,6769.146,10452
Mauritius,1273.433,2040
Aruba,107.204,180
San Marino,34.017,61
Nauru,10.876,21
South Korea,51305.186,100210
Rwanda,13276.513,26338
Comoros,888.451,1862
Saint Barthelemy,9.907,21
Tuvalu,11.931,26
Burundi,12255.433,27834
India,1393409.038,3287590
Israel,8789.774,20770
Haiti,11541.685,27750
Netherlands,17173.099,41850
Belgium,11632.326,30528
Curacao,164.798,444
Reunion,901.686,2511
Japan,126050.804,377930
Martinique,374.745,1128
Marshall Islands,59.61,181
Grenada,113.021,344
Sri Lanka,21497.31,65610
Philippines,111046.913,342353
Puerto Rico,2828.255,8870
Guam,170.179,549
El Salvador,6518.499,21041
United States Virgin Islands,104.226,347
Saint Lucia,184.4,616
Vietnam,98168.833,331212
Saint Vincent and the Grenadines,111.263,389
United Kingdom,68207.116,242900
American Samoa,55.1,199
Trinidad and Tobago,1403.375,5130
Jamaica,2973.463,10991
Pakistan,225199.937,881912
Qatar,2930.528,11586
Cayman Islands,66.497,264
Guadeloupe,400.02,1628
Luxembourg,634.814,2586
Kuwait,4328.55,17818
Liechtenstein,38.25,160
Germany,83900.473,357114
Gambia,2486.945,10689
Sao Tome and Principe,223.368,964
Nigeria,211400.708,923768
Dominican Republic,10953.703,48671
Antigua and Barbuda,98.731,442
Seychelles,98.908,452
North Korea,25887.041,120538
Switzerland,8715.494,41284
Saint Kitts and Nevis,53.544,261
Nepal,29674.92,147181
British Virgin Islands,30.421,151
Italy,60367.477,301336
Uganda,47123.531,241550
Guatemala,18249.86,108889
Anguilla,15.117,91
Malawi,19647.684,118484
Micronesia,116.254,702
Andorra,77.355,468
Kiribati,121.392,811
Isle of Man,85.41,572
Togo,8478.25,56785
China,1444216.107,9706961
Indonesia,276361.783,1904569
Tonga,106.76,747
Cape Verde,561.898,4033
Thailand,69950.85,513120
Czech Republic,10724.555,78865
Denmark,5813.298,43094
Ghana,31732.129,238533
Cyprus,1215.584,9251
Northern Mariana Islands,57.917,464
Poland,37797.005,312679
United Arab Emirates,9991.089,83600
Moldova,4024.019,33846
France,65426.179,551695
Azerbaijan,10223.342,86600
Jordan,10269.021,89342
Tokelau,1.373,12
Sierra Leone,8141.343,71740
Slovakia,5460.721,49037
Benin,12451.04,112622
Portugal,10167.925,92090
Turkey,85042.738,783562
Austria,9043.07,83871
Ethiopia,117876.227,1104300
Egypt,104258.327,1002450
Hungary,9634.164,93028
Cuba,11317.505,109884
Slovenia,2078.724,20273
Costa Rica,5139.052,51100
Albania,2872.933,28748
Armenia,2968.127,29743
Malaysia,32776.194,330803
Syria,18275.702,185180
Serbia,8697.55,88361
Dominica,72.167,751
Kenya,54985.698,580367
Iraq,41179.35,438317
Cambodia,16946.438,181035
Spain,46745.216,505992
Timor-Leste,1343.873,14874
Honduras,10062.991,112492
Senegal,17196.301,196722
Ivory Coast,27053.629,322463
Morocco,37344.795,446550
Myanmar,54806.012,676578
North Macedonia,2082.658,25713
Romania,19127.774,238391
Burkina Faso,21497.096,272967
Greece,10370.744,131990
Wallis and Futuna,11.094,142
Brunei,441.532,5765
Uzbekistan,33935.763,447400
Cook Islands,17.565,236
Tunisia,11935.766,163610
Croatia,4081.651,56594
Ukraine,43466.819,603500
Lesotho,2159.079,30355
Ireland,4982.907,70273
Samoa,200.149,2842
Tajikistan,9749.627,143100
French Polynesia,282.53,4167
Eswatini,1172.362,17364
Mexico,130262.216,1964375
Tanzania,61498.437,945087
Ecuador,17888.475,276841
Bosnia and Herzegovina,3263.466,51209
Bulgaria,6896.663,110879
Afghanistan,39835.428,652230
Panama,4381.579,75417
Yemen,30490.64,527968
Cameroon,27224.265,475442
Georgia,3979.765,69700
Guinea-Bissau,2015.494,36125
Guinea,13497.244,245857
Equatorial Guinea,1449.896,28051
Iran,85028.759,1648195
Nicaragua,6702.385,130373
Fiji,902.906,18272
South Africa,60041.994,1221037
Montserrat,4.977,102
Madagascar,28427.328,587041
Liberia,5180.203,111369
Belarus,9442.862,207600
Montenegro,628.053,13812
Colombia,51265.844,1141748
Djibouti,1002.187,23200
Turks and Caicos Islands,39.231,948
Lithuania,2689.862,65300
Mozambique,32163.047,801590
Palau,18.169,459
DR Congo,92377.993,2344858
Zimbabwe,15092.171,390757
United States,332915.073,9372610
Faroe Islands,49.049,1393
Kyrgyzstan,6628.356,199951
Venezuela,28704.954,916445
Laos,7379.358,236800
Eritrea,3601.467,117600
Estonia,1325.185,45227
Latvia,1866.942,64559
Bahamas,396.913,13943
Angola,33933.61,1246700
Peru,33359.418,1285216
Vanuatu,314.464,12189
Somalia,16359.504,637657
Chile,19212.361,756102
Zambia,18920.651,752612
Brazil,213993.437,8515767
Solomon Islands,703.996,28896
Saint Pierre and Miquelon,5.766,242
Sudan,44909.353,1886068
Sweden,10160.169,450295
Bhutan,779.898,38394
Niger,25130.817,1267000
Papua New Guinea,9119.01,462840
Uruguay,3485.151,181034
Algeria,44616.624,2381741
South Sudan,11381.378,619745
New Zealand,4860.643,270467
Paraguay,7219.638,406752
Belize,404.914,22966
Norway,5465.63,323802
Oman,5223.375,309500
Mali,20855.735,1240192
Republic of the Congo,5657.013,342000
Saudi Arabia,35340.683,2149690
Argentina,45605.826,2780400
Finland,5548.36,338424
New Caledonia,288.218,18575
Chad,16914.985,1284000
Turkmenistan,6117.924,488100
Bolivia,11832.94,1098581
Russia,145912.025,17098242
Gabon,2278.825,267668
Central African Republic,4919.981,622984
Kazakhstan,18994.962,2724900
Niue,1.619,260
Mauritania,4775.119,1030700
Botswana,2397.241,582000
Libya,6958.532,1759540
Canada,38067.903,9984670
Guyana,790.326,214969
French Guiana,306.448,83534
Suriname,591.8,163820
Australia,25788.215,7692024
Iceland,343.353,103000
Namibia,2587.344,825615
Western Sahara,611.875,266000
Mongolia,3329.289,1564110
Falkland Islands,3.533,12173
Greenland,56.877,2166086
